COSINE,Safe_List_L11_v1.npz,Safe_List_L11_v4.npz,Safe_List_L11_v5.npz,Safe_Phrase_L11_v5.npz,Safe_Word_L11_v1.npz,Safe_Word_L11_v2.npz,Safe_Word_L11_v3.npz,Safe_Word_L11_v4.npz,Safe_Word_L11_v5.npz,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v4.npz,1.558789372,1.562782407,1.56052649,1.558746934,1.563339114,1.567008972,1.563310027,1.562294245,1.558354139,1.555821061,1.560780048,1.555406809,1.559798956,1.560747743,1.570021152,1.561190248,1.563768744,1.569718838,1.560780048,1.556231022,1.568144083,1.565251112,1.570563555,1.556117892,1.560338497,1.556735516,1.5669595,1.5643121,1.5593189,1.558306932
Safe_Word_L11_v5.npz,1.562332511,1.562514424,1.55806601,1.55836153,1.545451522,1.56249547,1.568438888,1.563731432,1.55728066,1.562886834,1.556463957,1.535561562,1.558198571,1.55888629,1.562801242,1.560865879,1.560762048,1.55735302,1.564418316,1.560481548,1.559966922,1.566712022,1.56734848,1.560263991,1.565316319,1.54674387,1.566300035,1.558123708,1.561803699,1.561335921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Angle,Safe_List_L11_v1.npz,Safe_List_L11_v4.npz,Safe_List_L11_v5.npz,Safe_Phrase_L11_v5.npz,Safe_Word_L11_v1.npz,Safe_Word_L11_v2.npz,Safe_Word_L11_v3.npz,Safe_Word_L11_v4.npz,Safe_Word_L11_v5.npz,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v1.npz,0,0.7207549214,1.461829901,1.546150804,1.218302488,1.510481954,1.526477337,1.50352478,1.524333477,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v4.npz,0.7207549214,0,1.357053995,1.433409214,1.344925642,1.526986122,1.50834918,1.522539377,1.542871475,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v5.npz,1.461829901,1.357053995,0,1.323795319,1.387623787,1.55943203,1.548407078,1.554221749,1.491877079,,,,,,,,,,,,,,,,,,,,,
Safe_Phrase_L11_v5.npz,1.546150804,1.433409214,1.323795319,0,1.567846298,1.535758853,1.541992903,1.4613657,1.547155619,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v1.npz,1.218302488,1.344925642,1.387623787,1.567846298,0,1.468307257,1.53873682,1.56759119,1.532809973,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v2.npz,1.510481954,1.526986122,1.55943203,1.535758853,1.468307257,0,1.406344891,1.535806537,1.435353875,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v3.npz,1.526477337,1.50834918,1.548407078,1.541992903,1.53873682,1.406344891,0,1.471205711,1.427014828,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v4.npz,1.50352478,1.522539377,1.554221749,1.4613657,1.56759119,1.535806537,1.471205711,0,1.443358064,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v5.npz,1.524333477,1.542871475,1.491877079,1.547155619,1.532809973,1.435353875,1.427014828,1.443358064,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Angle,RandOneHot_N1012vN1909_L11_v9.npz,RandOneHot_N1174vN80_L11_v5.npz,RandOneHot_N1178vN1542_L11_v25.npz,RandOneHot_N1193vN2515_L11_v30.npz,RandOneHot_N1227vN1753_L11_v17.npz,RandOneHot_N1354vN428_L11_v20.npz,RandOneHot_N1497vN2123_L11_v6.npz,RandOneHot_N1599vN1511_L11_v29.npz,RandOneHot_N1689vN2556_L11_v26.npz,RandOneHot_N1925vN1818_L11_v7.npz,RandOneHot_N2020vN2799_L11_v27.npz,RandOneHot_N2100vN2840_L11_v21.npz,RandOneHot_N2307vN2531_L11_v15.npz,RandOneHot_N2572vN769_L11_v18.npz,RandOneHot_N2589vN1847_L11_v28.npz,RandOneHot_N2711vN1510_L11_v22.npz,RandOneHot_N2744vN2016_L11_v10.npz,RandOneHot_N2812vN402_L11_v11.npz,RandOneHot_N2838vN1983_L11_v12.npz,RandOneHot_N2881vN2530_L11_v3.npz,RandOneHot_N2966vN2872_L11_v24.npz,RandOneHot_N3019vN189_L11_v13.npz,RandOneHot_N3036vN1766_L11_v8.npz,RandOneHot_N355vN25_L11_v14.npz,RandOneHot_N359vN1621_L11_v2.npz,RandOneHot_N378vN2899_L11_v4.npz,RandOneHot_N453vN1695_L11_v16.npz,RandOneHot_N603vN1626_L11_v23.npz,RandOneHot_N690vN1432_L11_v1.npz,RandOneHot_N890vN2360_L11_v19.npz
Safe_List_L11_v1.npz,1.567662239,1.561999798,1.567253232,1.564350367,1.570005178,1.567646265,1.567849159,1.563367128,1.557497263,1.561405063,1.569330812,1.567631841,1.566553473,1.560445905,1.564575076,1.56533277,1.556716084,1.568430543,1.561942339,1.564166069,1.564041734,1.567051291,1.559807301,1.562491775,1.562000036,1.570611596,1.570681453,1.558633566,1.5640136,1.567571402
Safe_List_L11_v4.npz,1.568423152,1.559311628,1.569951296,1.569696546,1.564099073,1.568083763,1.563584685,1.562386155,1.558125019,1.563609958,1.566661477,1.567793727,1.561465263,1.56215632,1.564875841,1.564088583,1.555885196,1.566029906,1.560827255,1.559731364,1.566270947,1.551159143,1.558695316,1.567440867,1.558691382,1.569979548,1.56787765,1.557084799,1.558822155,1.564324856
Safe_List_L11_v5.npz,1.565141559,1.56458509,1.564795971,1.565297127,1.566220522,1.570275187,1.569465518,1.558491349,1.566260338,1.569917083,1.568408608,1.568328142,1.560201526,1.558652759,1.569463849,1.559394717,1.567103148,1.544120312,1.570621014,1.554902792,1.564370751,1.556782722,1.570060372,1.557823777,1.564311266,1.568895459,1.566182017,1.561887503,1.568948388,1.558363914
Safe_Phrase_L11_v5.npz,1.563462019,1.563809514,1.569831729,1.562944293,1.56925571,1.569911599,1.567993879,1.560999393,1.562143445,1.569296002,1.569241643,1.570732832,1.557503581,1.566124201,1.570303559,1.558362603,1.564951062,1.563522339,1.568672538,1.560342431,1.56654036,1.555033803,1.565849781,1.567012072,1.563351631,1.570145845,1.570752621,1.562117219,1.564822316,1.558140874
Safe_Word_L11_v1.npz,1.568289876,1.563323617,1.565949082,1.56923449,1.569812894,1.555908084,1.568282485,1.56218195,1.568550706,1.569503546,1.570739865,1.569679499,1.567611217,1.565782189,1.557023287,1.566534162,1.557725787,1.560946107,1.559056282,1.568933129,1.567703247,1.55566895,1.56850636,1.56176877,1.561791301,1.55459106,1.567759156,1.562259912,1.562923789,1.566599488
Safe_Word_L11_v2.npz,1.568724871,1.566954851,1.564988613,1.566539168,1.569554329,1.564745784,1.562200904,1.561126709,1.566470385,1.557979822,1.567546606,1.558713913,1.563984394,1.560761213,1.567090511,1.563828468,1.563449979,1.55823648,1.568791628,1.570368767,1.567166924,1.562749624,1.570735574,1.564516664,1.558976412,1.567152977,1.569984198,1.558932543,1.569922566,1.566952825
Safe_Word_L11_v3.npz,1.565435052,1.569482446,1.561011553,1.564406633,1.569007158,1.568003893,1.563749194,1.567477226,1.567614436,1.560884714,1.564823151,1.563252211,1.562821031,1.566382647,1.567989826,1.563786149,1.563168883,1.566723347,1.570722461,1.567651629,1.557387948,1.555986524,1.559786916,1.559751749,1.567660332,1.55574286,1.560309768,1.56094861,1.565905213,1.57017076
Safe_Word_L11_v4.npz,1.558577061,1.567274332,1.568752527,1.566944122,1.563137531,1.564507604,1.570468307,1.570258141,1.570245504,1.562816978,1.557958484,1.557039857,1.566477418,1.56664598,1.565917015,1.55940783,1.568118453,1.559638858,1.570145845,1.562123775,1.559195042,1.566634655,1.567152023,1.561418414,1.568040252,1.557814956,1.567901969,1.564172864,1.56820631,1.567494988
Safe_Word_L11_v5.npz,1.563398838,1.562488556,1.569995046,1.561599493,1.562826514,1.570698619,1.5692451,1.557621956,1.570299149,1.570618868,1.556352735,1.563071012,1.556871176,1.56959033,1.568730831,1.568071246,1.562533021,1.566770554,1.566478729,1.569905996,1.569732666,1.560468793,1.566020608,1.559512973,1.568660975,1.567314982,1.56988883,1.569073439,1.566737533,1.563318014
